veg,gvf_vs_gcc_div_count,gvf_vs_gcc_div_mean,gvf_vs_gcc_div_median,gvf_vs_ndvi_div_count,gvf_vs_ndvi_div_mean,gvf_vs_ndvi_div_median,gcc_vs_ndvi_div_count,gcc_vs_ndvi_div_mean,gcc_vs_ndvi_div_median
AG,13,2.305,2.072,13,1.891,1.458,13,1.186,1.096
DB,22,2.131,1.892,22,2.116,1.976,22,1.524,1.21
DN,1,3.638,3.638,1,2.095,2.095,1,1.593,1.593
EB,1,5.22,5.22,1,4.149,4.149,1,1.795,1.795
EN,13,3.007,2.503,13,3.449,3.461,13,2.699,2.056
GR,33,3.22,2.679,33,4.767,4.515,33,3.553,2.739
SH,27,2.922,1.871,27,4.426,3.656,27,3.611,3.111
TN,2,2.1,2.1,2,0.808,0.808,2,2.152,2.152
UN,10,1.898,1.825,10,1.401,1.476,10,1.523,1.422
WL,7,2.797,2.566,7,2.682,2.32,7,2.201,1.939
XX,5,4.024,3.471,5,3.953,3.348,5,3.646,3.296
