site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
GRSM,-1.0,-1.0,2.0,6.0,-5.0,1.75,1.2549,NEON.D07.GRSM.DP1.00033_DB_1000,DB,2024,94.0,136.0,260.0,324.0,93.0,117.0,264.0,315.0,95.0,134.0,254.0,329.0,0.6122187560766071,8.25,0.022933041790892846,0.2759704588372106,3.5,0.025970458837210587,0.7838727050760248,10.75,0.016015562218881858
SJER,3.0,3.0,8.0,1.0,11.0,1.0588,1.875,NEON.D17.SJER.DP1.00042_GR_1000,GR,2024,22.0,94.0,116.0,161.0,16.0,84.0,115.0,139.0,19.0,86.0,115.0,150.0,0.7362591104960274,9.75,0.03983053906745605,0.44017547284610614,5.75,0.029461187131820426,0.3036840219446302,4.0,0.017969736230344473
arsbrooks10,-4.0,-4.0,-9.0,1.0,13.0,1.2571,4.0833,arsbrooks10_AG_1000,AG,2024,142.0,186.0,233.0,282.0,147.0,182.0,243.0,255.0,146.0,195.0,232.0,269.0,0.8327052409019622,11.5,0.011276669473390817,0.5147354900995197,6.75,0.03259263295666251,0.7346212661231166,9.75,0.03819269469454524
KONZ,-2.0,-2.0,25.0,0.0,6.0,2.0,1.5588,NEON.D06.KONZ.DP1.00033_GR_1000,GR,2024,98.0,160.0,209.0,315.0,102.0,133.0,214.0,282.0,100.0,135.0,209.0,309.0,1.2894556191678836,17.25,0.05731276202502639,0.6183025756427641,8.25,0.029016861357049846,0.675801024534704,9.0,0.03294388167756109
homesteadsprings,-8.0,-8.0,-4.0,-12.0,9.0,1.4688,1.4216,homesteadsprings_DB_2000,DB,2024,90.0,137.0,195.0,340.0,98.0,130.0,209.0,311.0,98.0,141.0,207.0,331.0,1.0575475016218707,14.5,0.02183321590758492,0.634922892218774,8.25,0.04563717793305964,0.634293608346646,8.25,0.045007894060931704
GRSM,-2.0,-2.0,7.0,25.0,-1.0,2.4706,0.547,NEON.D07.GRSM.DP1.00042_UN_1000,UN,2024,94.0,136.0,260.0,324.0,97.0,114.0,199.0,316.0,96.0,129.0,235.0,325.0,1.7042388715476184,23.5,0.02566744297618979,0.6730777354747464,8.75,0.04807773547474637,1.1409067307482983,15.25,0.05162101646258419
sedgwick2,-3.0,-3.0,0.0,-7.0,-27.0,0.8947,0.9067,sedgwick2_GR_1000,GR,2024,12.0,80.0,103.0,171.0,9.0,85.0,118.0,193.0,15.0,80.0,110.0,198.0,0.8312827743575321,11.25,0.0277113457861035,0.6824969222171046,9.25,0.021782636502818874,0.45175785642347965,6.0,0.02318642785205109
KONZ,-4.0,-4.0,22.0,-4.0,8.0,2.1379,1.3947,NEON.D06.KONZ.DP1.00042_GR_1000,GR,2024,98.0,160.0,209.0,315.0,105.0,134.0,212.0,288.0,102.0,138.0,213.0,307.0,1.1668433771531472,15.75,0.04184337715314717,0.7219469796956336,9.5,0.04337555112420497,0.5280052145460327,6.75,0.045862357403175534
SRER,15.0,15.0,-10.0,-13.0,1.0,0.6667,1.0513,NEON.D14.SRER.DP1.00033_SH_1000,SH,2024,39.0,79.0,79.0,366.0,19.0,79.0,92.0,365.0,24.0,89.0,92.0,365.0,0.6731412166597921,8.5,0.06599835951693496,0.743644118460855,9.75,0.04721554703228358,0.2994101750016752,3.75,0.03155303214453236
snodgrass4,-24.0,-24.0,12.0,1.0,-3.0,4.4615,1.8462,snodgrass4_UN_1000,UN,2024,126.0,184.0,213.0,309.0,158.0,171.0,226.0,278.0,150.0,172.0,212.0,312.0,1.635113272117836,22.25,0.045827557832121855,0.7470484326824255,10.0,0.03276271839671119,1.054881577684906,14.25,0.03702443482776327
willowcreek,3.0,3.0,16.0,12.0,-9.0,3.4667,2.7778,willowcreek_DB_1000,DB,2024,112.0,164.0,249.0,324.0,126.0,141.0,259.0,286.0,109.0,148.0,237.0,333.0,1.6111086980991969,21.25,0.09325155524205411,0.7512674205011841,10.0,0.03698170621546984,1.7279028811121768,23.25,0.06718859539789092
HEAL,6.0,6.0,10.0,-7.0,-19.0,3.4828,2.2188,NEON.D19.HEAL.DP1.00033_TN_1000,TN,2024,90.0,191.0,218.0,289.0,143.0,172.0,222.0,254.0,84.0,181.0,225.0,308.0,2.0637225885659847,27.75,0.08157973142312738,0.7966925341136312,10.5,0.04669253411363117,2.258415776977174,31.25,0.026272919834316847
BART,3.0,3.0,13.0,-17.0,10.0,5.7778,1.5902,NEON.D01.BART.DP1.00033_DB_1000,DB,2024,115.0,167.0,229.0,326.0,130.0,139.0,235.0,296.0,112.0,154.0,246.0,316.0,1.4416941921869482,19.75,0.030979906472662272,0.812158499172777,10.75,0.0443013563156341,1.1990543859288465,16.0,0.05619724307170378
