site,veg,lat,lon,water_frac,urban_frac,total_flags,flags_2023,flags_2024,flagged_in,greenup_gcc_2023,greenup_ndvi_2023,greenup_d_2023,senescence_gcc_2023,senescence_ndvi_2023,senescence_d_2023,greenup_gcc_2024,greenup_ndvi_2024,greenup_d_2024,senescence_gcc_2024,senescence_ndvi_2024,senescence_d_2024
cafcookeastltar01,AG,46.78152,-117.0821,0.0,0.0006,2,2,0,"2024:{} 2023:{greenup(gcc=5.00,ndvi=2.06,d=+2.94), senescence(gcc=3.56,ndvi=0.98,d=+2.58)}",5.0,2.0588,2.9412,3.5625,0.9828,2.5797,,,,,,
arscolessouth,AG,42.4816,-93.5235,0.0012,0.0348,1,1,0,"2024:{} 2023:{senescence(gcc=3.29,ndvi=1.47,d=+1.82)}",,,,3.2941,1.4737,1.8203999999999998,,,,,,
arsope3ltar,AG,39.0309,-76.8442,0.0006,0.0414,1,1,0,"2024:{} 2023:{senescence(gcc=7.80,ndvi=4.33,d=+3.47)}",,,,7.8,4.3333,3.4666999999999994,,,,,,
ecb4,AG,41.1796,-83.0604,0.0042,0.0072,1,1,0,"2024:{} 2023:{greenup(gcc=4.62,ndvi=0.67,d=+3.96)}",4.625,0.6667,3.9583,,,,,,,,,
harvardfarmsouth,AG,42.522466,-72.182339,0.0001,0.0046,1,0,1,"2024:{senescence(gcc=0.84,ndvi=5.38,d=-4.54)} 2023:{}",,,,,,,,,,0.837,5.381,-4.5440000000000005
rosemountconv,AG,44.691,-93.0576,0.0,0.0102,1,1,0,"2024:{} 2023:{senescence(gcc=5.83,ndvi=1.63,d=+4.21)}",,,,5.8333,1.6279,4.205400000000001,,,,,,
rosemountnprs,AG,44.6781,-93.0723,0.0041,0.0037,1,1,0,"2024:{} 2023:{greenup(gcc=5.75,ndvi=2.56,d=+3.19)}",5.75,2.5556,3.1944,,,,,,,,,
hubbardbrook,DB,43.9438,-71.701,0.0117,0.0194,2,0,2,"2024:{greenup(gcc=10.27,ndvi=3.76,d=+6.51), greenup(gcc=9.62,ndvi=3.58,d=+6.04)} 2023:{}",,,,,,,9.625,3.5814,6.0436,,,
BART,DB,44.063869,-71.287375,0.0031,0.0113,1,1,0,"2024:{} 2023:{greenup(gcc=8.88,ndvi=1.37,d=+7.51)}",8.875,1.3654,7.5096,,,,,,,,,
macleish,DB,42.4484,-72.6804,0.0185,0.0008,1,1,0,"2024:{} 2023:{senescence(gcc=2.96,ndvi=12.31,d=-9.34)}",,,,2.963,12.3077,-9.3447,,,,,,
