site,veg,roi,lat,lon,water_frac,urban_frac,total_flags,flags_2023,flags_2024,flagged_in,phenocam_site,gvf_vs_ndvi_div_2023,gcc_vs_ndvi_div_2023,gvf_vs_gcc_div_2023,gvf_sos_2023,gvf_mos_2023,gvf_dos_2023,gvf_eos_2023,gcc_sos_2023,gcc_mos_2023,gcc_dos_2023,gcc_eos_2023,ndvi_sos_2023,ndvi_mos_2023,ndvi_dos_2023,ndvi_eos_2023,gvf_vs_ndvi_div_2024,gcc_vs_ndvi_div_2024,gvf_vs_gcc_div_2024,gvf_sos_2024,gvf_mos_2024,gvf_dos_2024,gvf_eos_2024,gcc_sos_2024,gcc_mos_2024,gcc_dos_2024,gcc_eos_2024,ndvi_sos_2024,ndvi_mos_2024,ndvi_dos_2024,ndvi_eos_2024
homesteadsprings,AG,homesteadsprings_AG_2000,37.2009,-92.9937,0.0003,0.0059,5,5,0,"2024:{} 2023:{NDVI:MOS(-75), NDVI:EOS(+38), GCC:MOS(-126), GCC:MOS(-126), GCC:DOS(-69)}",homesteadsprings,3.22585786582222,3.5854492536950087,4.39258297253279,76.0,152.0,229.0,348.0,65.0,278.0,298.0,311.0,2.0,227.0,255.0,348.0,,,,90.0,137.0,195.0,340.0,98.0,130.0,209.0,311.0,98.0,141.0,207.0,331.0
archboldpnot,AG,archboldpnot_AG_1000,27.187948,-81.200345,0.0,0.0021,4,4,0,"2024:{} 2023:{NDVI:MOS(+82), NDVI:DOS(+89), NDVI:EOS(-47), GCC:EOS(-47)}",archboldpnot,5.203334623223177,0.8013686375012942,4.451147971169495,90.0,211.0,220.0,318.0,27.0,137.0,158.0,365.0,20.0,129.0,131.0,365.0,,,,,,,,,,,,,,,
arsope3ltar,AG,arsope3ltar_AG_1000,39.0309,-76.8442,0.0006,0.0414,4,4,0,"2024:{} 2023:{NDVI:MOS(-88), NDVI:DOS(-47), GCC:MOS(-109), GCC:DOS(-58)}",arsope3ltar,3.521324556894997,0.9066584505963482,3.840325773146191,68.0,151.0,215.0,332.0,68.0,260.0,273.0,288.0,84.0,239.0,262.0,289.0,,,,29.0,217.0,270.0,312.0,2.0,206.0,246.0,293.0,17.0,239.0,250.0,298.0
ecb4,AG,ecb4_AG_1000,41.1796,-83.0604,0.0042,0.0072,4,4,0,"2024:{} 2023:{NDVI:EOS(-50), GCC:MOS(+85), GCC:DOS(+122), GCC:EOS(-50)}",ecb4,2.7697877285476937,5.153219312754365,5.259740632879778,49.0,197.0,250.0,315.0,80.0,112.0,128.0,365.0,2.0,224.0,224.0,365.0,,,,,,,,,,,,,,,
harvardfarmnorth,AG,harvardfarmnorth_AG_1000,42.520465,-72.182242,0.0001,0.005,1,1,0,2024:{} 2023:{NDVI:DOS(+74)},harvardfarmnorth,2.3484999989958566,0.7428945060232822,2.0775460041913156,85.0,149.0,214.0,348.0,95.0,123.0,154.0,365.0,72.0,125.0,140.0,365.0,,,,,,,,,,,,,,,
uiefmiscanthus2,AG,uiefmiscanthus2_AG_1000,40.0628,-88.1984,0.0003,0.0263,1,0,1,2024:{NDVI:DOS(-41)} 2023:{},uiefmiscanthus2,,,,94.0,208.0,241.0,312.0,126.0,158.0,274.0,315.0,112.0,166.0,272.0,326.0,2.354821425696763,0.8270384457185501,2.9929714713982736,68.0,215.0,242.0,313.0,122.0,151.0,279.0,302.0,101.0,168.0,283.0,304.0
JERC,DB,NEON.D03.JERC.DP1.00033_DB_1000,31.194839,-84.468623,0.0032,0.0015,8,6,2,"2024:{NDVI:MOS(-26), GCC:MOS(-34)} 2023:{NDVI:MOS(+83), NDVI:MOS(+77), GCC:MOS(+95), GCC:MOS(-38), GCC:MOS(+85), GCC:EOS(+36)}",NEON.D03.JERC.DP1.00033,2.3635748153302414,0.93844808892485,2.5316010639776665,42.0,189.0,224.0,361.0,64.0,94.0,207.0,356.0,63.0,106.0,243.0,354.0,1.5604336283280629,0.3906790806545273,1.9458950396805907,70.0,145.0,198.0,359.0,43.0,179.0,227.0,344.0,43.0,171.0,224.0,353.0
hubbardbrook,DB,hubbardbrook_DB_3000,43.9438,-71.701,0.0117,0.0194,8,0,8,"2024:{NDVI:SOS(-66), NDVI:SOS(-65), NDVI:MOS(+47), NDVI:MOS(+46), GCC:SOS(-77), GCC:SOS(-77), GCC:MOS(+62), GCC:MOS(+61)} 2023:{}",hubbardbrook,,,,111.0,159.0,220.0,326.0,124.0,136.0,231.0,307.0,108.0,153.0,256.0,304.0,2.5828600768286543,1.0751043735906027,3.215032063119905,47.0,201.0,220.0,320.0,124.0,139.0,233.0,294.0,113.0,154.0,245.0,315.0
harvardfarmsouth,DB,harvardfarmsouth_DB_1000,42.522466,-72.182339,0.0001,0.0046,6,0,6,"2024:{NDVI:SOS(-112), NDVI:MOS(-83), NDVI:DOS(-50), NDVI:EOS(+42), GCC:SOS(-109), GCC:DOS(+79)} 2023:{}",harvardfarmsouth,,,,,,,,,,,,,,,,2.9749376768440197,1.779625808970001,4.325802546968156,21.0,153.0,225.0,338.0,130.0,143.0,146.0,296.0,133.0,150.0,233.0,296.0
sedgwick2,DB,sedgwick2_DB_1000,34.7012,-120.037,0.0,0.0015,6,0,6,"2024:{NDVI:SOS(-74), NDVI:MOS(-35), NDVI:EOS(-194), GCC:SOS(-65), GCC:MOS(-28), GCC:EOS(-57)} 2023:{}",sedgwick2,,,,,,,,,,,,,,,,6.377767430253657,3.31189287891615,3.02098810652018,12.0,80.0,103.0,171.0,77.0,108.0,120.0,228.0,86.0,115.0,144.0,365.0
