source,veg,gvf_vs_gcc_div,gvf_vs_ndvi_div,gcc_vs_ndvi_div
GBOV_2023,AG,1.88,5.539,0.472
GBOV_2023,DB,3.154,1.792,2.774
GBOV_2023,EN,2.681,4.099,1.477
GBOV_2023,GR,3.698,4.073,4.317
GBOV_2023,SH,1.988,2.702,4.454
GBOV_2024,AG,3.478,3.814,0.754
GBOV_2024,DB,1.461,1.294,1.2
GBOV_2024,EN,5.108,3.937,1.572
GBOV_2024,GR,4.162,4.647,6.128
GBOV_2024,SH,1.214,1.652,1.49
GoldenSites_2023,AG,2.74,2.086,1.453
GoldenSites_2023,DB,2.022,1.841,1.854
GoldenSites_2023,EN,0.98,1.098,0.398
GoldenSites_2023,GR,3.932,2.818,1.844
GoldenSites_2024,AG,2.19,1.764,1.02
GoldenSites_2024,DB,1.814,1.675,1.619
GoldenSites_2024,EN,6.226,3.15,3.829
GoldenSites_2024,GR,3.853,3.7,0.902
GoldenSites_2024,SH,3.44,4.927,5.92
GoldenSites_2024,UN,2.39,1.679,3.066
GoldenSites_2024,WL,1.671,1.199,2.043
