site_name,roi,veg,source,lat,lon,year,gvf_vs_ndvi,ndvi_vs_gcc,gcc_vs_gvf,water_pct,urban_pct
KONA,NEON.D06.KONA.DP1.00033_AG_1000,AG,GBOV_2023,39.1104,-96.6129,2023,2.1891,0.4721,1.8803,0.0,1.1
KONA,NEON.D06.KONA.DP1.00033_AG_1000,AG,GBOV_2024,39.1104,-96.6129,2024,3.8143,0.7539,3.4783,0.0,1.1
STER,NEON.D10.STER.DP1.00033_AG_1000,AG,GBOV_2023,,,2023,8.888,,,,
arkansaswhitaker,arkansaswhitaker_AG_1000,AG,GoldenSites_2023,33.6216,-91.4306,2023,1.4123,0.5068,1.2719,0.0,0.8
arsmorris2,arsmorris2_AG_1000,AG,GoldenSites_2024,45.627,-96.127,2024,1.6843,1.1361,2.0723,0.2,1.1
arsope3ltar,arsope3ltar_AG_1000,AG,GoldenSites_2023,39.0309,-76.8442,2023,3.5213,0.9067,3.8403,0.1,4.1
arsope3ltar,arsope3ltar_AG_1000,AG,GoldenSites_2024,39.0309,-76.8442,2024,1.2536,1.0958,1.504,0.1,4.1
cafcookeastltar01,cafcookeastltar01_AG_1000,AG,GoldenSites_2023,46.7815,-117.0821,2023,1.1842,1.1392,1.9478,0.0,0.1
ecb4,ecb4_AG_1000,AG,GoldenSites_2023,41.1796,-83.0604,2023,2.7698,5.1532,5.2597,0.4,0.7
mandani2,mandani2_AG_1000,AG,GoldenSites_2023,46.7614,-100.9257,2023,1.7269,0.3685,1.9931,0.1,0.8
uiefmiscanthus2,uiefmiscanthus2_AG_1000,AG,GoldenSites_2023,40.0628,-88.1984,2023,1.901,0.6439,2.1265,0.0,2.6
uiefmiscanthus2,uiefmiscanthus2_AG_1000,AG,GoldenSites_2024,40.0628,-88.1984,2024,2.3548,0.827,2.993,0.0,2.6
BART,NEON.D01.BART.DP1.00033_DB_1000,DB,GBOV_2023,44.0639,-71.2874,2023,1.4429,1.5478,1.7495,0.3,1.1
BART,NEON.D01.BART.DP1.00033_DB_1000,DB,GBOV_2024,44.0639,-71.2874,2024,0.8122,1.1991,1.4417,0.3,1.1
BLUE,NEON.D11.BLUE.DP1.20002_DB_1000,DB,GoldenSites_2023,34.4442,-96.6242,2023,1.976,1.1475,1.8883,0.4,0.9
DELA,NEON.D08.DELA.DP1.00033_DB_1000,DB,GBOV_2023,32.5417,-87.8039,2023,1.7021,2.4715,2.5807,14.0,0.1
DELA,NEON.D08.DELA.DP1.00033_DB_1000,DB,GBOV_2024,32.5417,-87.8039,2024,1.8371,2.1504,1.2113,14.0,0.1
HARV,NEON.D01.HARV.DP1.00033_DB_1000,DB,GBOV_2023,42.5369,-72.1726,2023,1.4351,6.263,5.3912,0.1,0.3
HARV,NEON.D01.HARV.DP1.00033_DB_1000,DB,GBOV_2024,42.5369,-72.1726,2024,0.8214,0.9292,1.2166,0.1,0.3
ORNL,NEON.D07.ORNL.DP1.00033_DB_1000,DB,GBOV_2023,35.9641,-84.2826,2023,2.5882,0.8125,2.8936,1.0,5.2
ORNL,NEON.D07.ORNL.DP1.00033_DB_1000,DB,GBOV_2024,35.9641,-84.2826,2024,1.7059,0.523,1.9731,1.0,5.2
SCBI,NEON.D02.SCBI.DP1.00033_DB_1000,DB,GoldenSites_2023,38.8929,-78.1395,2023,1.4207,0.574,1.8946,0.2,0.7
blackrockforest,blackrockforest_DB_1000,DB,GoldenSites_2023,41.3974,-74.0239,2023,0.5533,0.6977,0.5532,3.3,0.0
blackrockforest,blackrockforest_DB_1000,DB,GoldenSites_2024,41.3974,-74.0239,2024,1.8257,1.0049,1.9435,3.3,0.0
coweeta,coweeta_DB_2000,DB,GoldenSites_2023,35.0592,-83.4275,2023,1.6303,2.4813,2.5769,0.0,0.1
coweeta,coweeta_DB_2000,DB,GoldenSites_2024,35.0592,-83.4275,2024,1.9093,1.9093,1.2497,0.0,0.1
dukehw,dukehw_DB_1000,DB,GoldenSites_2023,35.9736,-79.1004,2023,0.958,0.8912,1.5462,0.2,1.5
macleish,macleish_DB_1000,DB,GoldenSites_2023,42.4484,-72.6804,2023,4.4109,0.9938,4.8166,1.8,0.1
morganmonroe2,morganmonroe2_DB_1000,DB,GoldenSites_2023,39.3231,-86.4131,2023,0.7812,1.9111,1.5057,0.0,0.1
ninemileprairie,ninemileprairie_DB_2000,DB,GoldenSites_2023,40.868,-96.8221,2023,1.9563,2.0082,2.0783,0.3,1.0
robinson2,robinson2_DB_1000,DB,GoldenSites_2023,37.4671,-83.1576,2023,0.6706,1.0358,1.1683,0.1,0.1
russellsage,russellsage_DB_1000,DB,GoldenSites_2024,32.457,-91.9743,2024,2.123,2.7282,2.1775,0.2,0.0
shalehillsczo,shalehillsczo_DB_2000,DB,GoldenSites_2023,40.6658,-77.9041,2023,2.3189,0.9447,2.3039,1.6,0.2
shalehillsczo,shalehillsczo_DB_2000,DB,GoldenSites_2024,40.6658,-77.9041,2024,1.7636,0.7266,2.0878,1.6,0.2
sweetbriar,sweetbriar_DB_1000,DB,GoldenSites_2023,37.5734,-79.0848,2023,1.8943,2.437,2.1707,0.3,1.2
turkeypointdbf,turkeypointdbf_DB_2000,DB,GoldenSites_2023,42.6353,-80.5576,2023,3.737,5.978,2.4598,0.1,0.2
usgseros,usgseros_DB_2000,DB,GoldenSites_2023,43.7343,-96.6234,2023,2.7485,3.6809,1.9849,0.3,0.9
