rank,site,lag,greenup_comp,senescence_comp,roi,veg,year,source,golden_candidate,spin_up,combined_div,combined_gap,combined_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos
1,blackrockforest,-1.0,1.5417,1.0577,blackrockforest_DB_1000,DB,2023,GoldenSites_2023,True,False,0.5532767033854256,7.25,0.0354195605282826,0.5533385051871011,7.25,0.0354813623299582,0.55321490158375,7.25,0.035357758726607,0.697704795139392,9.5,0.0191333665679633,113.0,150.0,221.0,331.0,113.0,137.0,216.0,320.0,114.0,151.0,238.0,321.0
2,SRER,15.0,0.6667,1.0513,NEON.D14.SRER.DP1.00033_SH_1000,SH,2024,GBOV_2024,False,False,0.7083926675603236,9.125,0.0566069532746092,0.743644118460855,9.75,0.0472155470322835,0.6731412166597921,8.5,0.0659983595169349,0.2994101750016752,3.75,0.0315530321445323,39.0,79.0,79.0,366.0,19.0,79.0,92.0,365.0,24.0,89.0,92.0,365.0
3,robinson2,-1.0,2.8235,0.8311,robinson2_DB_1000,DB,2023,GoldenSites_2023,True,False,0.9194241027180202,12.5,0.0265669598608773,0.6705892326896048,9.0,0.0277320898324618,1.1682589727464356,16.0,0.0254018298892928,1.0358395009664867,14.0,0.0358395009664867,95.0,143.0,226.0,349.0,98.0,115.0,197.0,345.0,96.0,126.0,234.0,339.0
4,HARV,-5.0,4.3333,0.7886,NEON.D01.HARV.DP1.00033_DB_1000,DB,2024,GBOV_2024,True,False,1.0190316868152802,13.75,0.036888829672423046,0.8214349208416272,11.0,0.0357206351273414,1.2166284527889333,16.5,0.0380570242175047,0.9292296424435196,12.5,0.0363724995863765,115.0,167.0,229.0,326.0,128.0,140.0,211.0,334.0,120.0,150.0,243.0,334.0
5,bigtraillake,11.0,1.3051,1.1039,bigtraillake_EN_1000,EN,2023,GoldenSites_2023,False,False,1.039067815958845,13.75,0.05692495881598765,1.0979141699459083,14.5,0.0621998842316223,0.9802214619717816,13.0,0.051650033400353,0.3978094099881025,4.5,0.076380838559531,118.0,195.0,218.0,303.0,105.0,164.0,224.0,301.0,107.0,154.0,222.0,305.0
6,willowcreek,-4.0,3.3077,2.36,willowcreek_DB_1000,DB,2023,GoldenSites_2023,True,False,1.0393892082004,13.625,0.06617492248611415,0.721060057122572,9.75,0.0246314856940006,1.3577183592782278,17.5,0.1077183592782277,1.1706971269266613,15.25,0.0814114126409471,116.0,159.0,247.0,306.0,128.0,141.0,244.0,269.0,120.0,150.0,229.0,298.0
7,BART,3.0,5.7778,1.5902,NEON.D01.BART.DP1.00033_DB_1000,DB,2024,GBOV_2024,True,False,1.1269263456798626,15.25,0.03764063139414815,0.812158499172777,10.75,0.0443013563156341,1.4416941921869482,19.75,0.0309799064726622,1.1990543859288465,16.0,0.0561972430717037,115.0,167.0,229.0,326.0,130.0,139.0,235.0,296.0,112.0,154.0,246.0,316.0
8,morganmonroe2,14.0,2.1,0.6304,morganmonroe2_DB_1000,DB,2023,GoldenSites_2023,True,False,1.1434386744275353,15.625,0.027367245856106552,0.7812147449143121,10.5,0.031214744914312,1.5056626039407583,20.75,0.0235197467979011,1.9110521544734929,26.25,0.0360521544734929,98.0,140.0,253.0,340.0,93.0,113.0,202.0,340.0,84.0,144.0,248.0,321.0
9,willowcreek,3.0,3.4667,2.7778,willowcreek_DB_1000,DB,2024,GoldenSites_2024,True,False,1.1811880593001904,15.625,0.06511663072876195,0.7512674205011841,10.0,0.0369817062154698,1.6111086980991969,21.25,0.0932515552420541,1.7279028811121768,23.25,0.0671885953978909,112.0,164.0,249.0,324.0,126.0,141.0,259.0,286.0,109.0,148.0,237.0,333.0
10,dukehw,-5.0,2.4138,0.8803,dukehw_DB_1000,DB,2023,GoldenSites_2023,True,False,1.2521087841828262,17.125,0.0288944984685404,0.9580033165593854,13.0,0.0294318879879568,1.546214251806267,21.25,0.028357108949124,0.8912054237406276,12.25,0.0162054237406276,69.0,139.0,243.0,346.0,72.0,101.0,214.0,331.0,74.0,117.0,239.0,325.0
