site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
HARV,-5.0,-5.0,14.0,-45.0,13.0,,0.7902,NEON.D01.HARV.DP1.00033_DB_1000,DB,2023,101.0,172.0,221.0,334.0,2.0,2.0,212.0,355.0,106.0,158.0,266.0,321.0,5.391176171131987,74.75,0.051890456846273,1.4350588935374968,19.25,0.0600588935374968,6.263044494298283,87.0,0.0487587800125683
BART,-3.0,-3.0,16.0,-34.0,26.0,8.875,1.3452,NEON.D01.BART.DP1.00033_DB_1000,DB,2023,101.0,172.0,221.0,334.0,125.0,133.0,219.0,303.0,104.0,156.0,255.0,308.0,1.7494996348944778,24.0,0.0352139206087635,1.442934892404528,19.75,0.0322206066902421,1.5478358524681732,21.25,0.0299787096110303
SRER,-31.0,-31.0,2.0,8.0,-45.0,1.0253,0.6486,NEON.D14.SRER.DP1.00033_SH_1000,SH,2023,1.0,244.0,250.0,298.0,2.0,239.0,249.0,323.0,32.0,242.0,242.0,343.0,0.6530574840324838,8.0,0.0816289126039123,1.6244709605398675,21.5,0.088756674825582,1.1294366508609064,15.0,0.058008079432335
DELA,-9.0,-9.0,34.0,-44.0,-7.0,2.7188,0.6123,NEON.D08.DELA.DP1.00033_DB_1000,DB,2023,51.0,138.0,211.0,350.0,63.0,95.0,138.0,365.0,60.0,104.0,255.0,357.0,2.5806507764886226,35.75,0.0270793479171943,1.7020948377880556,23.5,0.023523409216627,2.471499171826272,34.25,0.0250706003977004
CPER,16.0,16.0,34.0,36.0,31.0,1.9143,1.1553,NEON.D10.CPER.DP1.00033_GR_1000,GR,2023,121.0,188.0,194.0,313.0,115.0,150.0,161.0,264.0,105.0,154.0,158.0,282.0,2.26320261849794,31.5,0.0132026184979399,2.127256339199145,29.25,0.0379706249134302,0.6610205295058212,8.75,0.0360205295058212
KONA,-65.0,-65.0,-16.0,-18.0,22.0,3.8696,1.6957,NEON.D06.KONA.DP1.00033_AG_1000,AG,2023,94.0,183.0,215.0,293.0,163.0,186.0,226.0,272.0,159.0,199.0,233.0,271.0,1.8802862515623784,26.0,0.0231433944195214,2.189103155473674,30.25,0.0283888697593883,0.4721210205550248,6.25,0.0256924491264533
ORNL,-17.0,-17.0,39.0,-39.0,35.0,3.8182,3.2273,NEON.D07.ORNL.DP1.00033_DB_1000,DB,2023,68.0,152.0,207.0,349.0,84.0,106.0,258.0,302.0,85.0,113.0,246.0,314.0,2.893593088642065,40.0,0.0364502314992076,2.5881998268681987,32.5,0.2667712554396272,0.8125272893255582,8.0,0.2410987178969867
ONAQ,83.0,83.0,-22.0,41.0,0.0,1.1765,2.2429,NEON.D15.ONAQ.DP1.00033_SH_1000,SH,2023,85.0,145.0,208.0,365.0,79.0,130.0,230.0,300.0,2.0,167.0,167.0,365.0,1.9877581591119065,27.0,0.0591867305404776,2.7017354438083516,36.5,0.0945925866654944,4.454176093051865,60.5,0.1327475216232943
MOAB,-11.0,-11.0,-27.0,124.0,-29.0,0.773,0.25,NEON.D13.MOAB.DP1.00033_GR_1000,GR,2023,1.0,110.0,261.0,294.0,2.0,143.0,143.0,275.0,12.0,137.0,137.0,323.0,3.125984349625617,42.75,0.072412921054189,3.4832695939192613,47.75,0.0725553082049755,1.287827165429057,17.5,0.0378271654290569
TALL,74.0,74.0,-103.0,-36.0,-12.0,0.373,1.3298,NEON.D08.TALL.DP1.00033_EN_1000,EN,2023,76.0,145.0,212.0,337.0,31.0,216.0,243.0,337.0,2.0,248.0,248.0,349.0,2.681390072949447,36.75,0.0563900729494467,4.098530142706698,56.25,0.080672999849555,1.4766843414233666,19.5,0.0838271985662237
JORN,58.0,58.0,105.0,141.0,-26.0,0.363,1.5591,NEON.D14.JORN.DP1.00033_GR_1000,GR,2023,60.0,158.0,194.0,339.0,2.0,272.0,272.0,365.0,2.0,53.0,53.0,365.0,5.13379373776908,69.0,0.2052223091976516,6.019614845422233,82.5,0.1267577025650898,7.972290447659779,109.5,0.1508618762312071
STER,79.0,79.0,137.0,141.0,133.0,,,NEON.D10.STER.DP1.00033_AG_1000,AG,2023,81.0,172.0,176.0,231.0,,,,,2.0,35.0,35.0,98.0,,,0.1091693464722785,8.887995974459404,122.5,0.1379959744594044,,,0.0897884370851981
