site,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
blackrockforest,blackrockforest_DB_1000,DB,2023,113.0,150.0,221.0,331.0,113.0,137.0,216.0,320.0,114.0,151.0,238.0,321.0,0.55321490158375,7.25,0.03535775872660702,0.5533385051871011,7.25,0.03548136232995827,0.697704795139392,9.5,0.01913336656796339
robinson2,robinson2_DB_1000,DB,2023,95.0,143.0,226.0,349.0,98.0,115.0,197.0,345.0,96.0,126.0,234.0,339.0,1.1682589727464356,16.0,0.02540182988929282,0.6705892326896048,9.0,0.027732089832461854,1.0358395009664867,14.0,0.0358395009664867
willowcreek,willowcreek_DB_1000,DB,2023,116.0,159.0,247.0,306.0,128.0,141.0,244.0,269.0,120.0,150.0,229.0,298.0,1.3577183592782278,17.5,0.10771835927822773,0.721060057122572,9.75,0.02463148569400061,1.1706971269266613,15.25,0.08141141264094713
morganmonroe2,morganmonroe2_DB_1000,DB,2023,98.0,140.0,253.0,340.0,93.0,113.0,202.0,340.0,84.0,144.0,248.0,321.0,1.5056626039407583,20.75,0.02351974679790115,0.7812147449143121,10.5,0.031214744914312045,1.9110521544734929,26.25,0.036052154473492935
dukehw,dukehw_DB_1000,DB,2023,69.0,139.0,243.0,346.0,72.0,101.0,214.0,331.0,74.0,117.0,239.0,325.0,1.546214251806267,21.25,0.02835710894912409,0.9580033165593854,13.0,0.02943188798795682,0.8912054237406276,12.25,0.016205423740627643
bigtraillake,bigtraillake_EN_1000,EN,2023,118.0,195.0,218.0,303.0,105.0,164.0,224.0,301.0,107.0,154.0,222.0,305.0,0.9802214619717816,13.0,0.051650033400353006,1.0979141699459083,14.5,0.06219988423162238,0.39780940998810255,4.5,0.07638083855953108
cafcookeastltar01,cafcookeastltar01_AG_1000,AG,2023,108.0,178.0,186.0,243.0,119.0,133.0,181.0,197.0,112.0,146.0,171.0,229.0,1.9478295547846587,26.75,0.037115269070372985,1.1842385746613215,16.25,0.02352428894703574,1.1391571260625935,15.5,0.03201426891973626
arkansaswhitaker,arkansaswhitaker_AG_1000,AG,2023,131.0,175.0,227.0,283.0,131.0,162.0,203.0,251.0,114.0,164.0,205.0,256.0,1.2718620662317413,17.25,0.03971920908888412,1.4122980374552885,19.25,0.03729803745528843,0.506761422401722,6.5,0.042475708116007656
SCBI,NEON.D02.SCBI.DP1.00033_DB_1000,DB,2023,78.0,147.0,237.0,349.0,87.0,105.0,261.0,319.0,89.0,117.0,248.0,323.0,1.8945607153294082,26.25,0.019560715329408136,1.4207437856198486,19.5,0.02788664276270577,0.5740196818949551,7.75,0.02044825332352656
coweeta,coweeta_DB_2000,DB,2023,68.0,159.0,236.0,345.0,97.0,122.0,163.0,342.0,94.0,141.0,257.0,321.0,2.576862087317608,35.5,0.04114780160332225,1.6303146092070406,22.25,0.041028894921326484,2.481254502089881,34.25,0.034825930661309505
mandani2,mandani2_AG_1000,AG,2023,103.0,192.0,223.0,338.0,156.0,190.0,230.0,291.0,155.0,188.0,226.0,302.0,1.9931031346738413,27.25,0.04667456324526989,1.7269387861344492,23.75,0.0305102147058777,0.3685255888041125,4.5,0.047097017375541055
sweetbriar,sweetbriar_DB_1000,DB,2023,74.0,144.0,208.0,352.0,86.0,104.0,153.0,365.0,85.0,110.0,251.0,337.0,2.170685704095536,30.0,0.027828561238393078,1.89430803167029,25.75,0.05502231738457589,2.4370486771907856,33.25,0.06204867719078544
uiefmiscanthus2,uiefmiscanthus2_AG_1000,AG,2023,94.0,208.0,241.0,312.0,126.0,158.0,274.0,315.0,112.0,166.0,272.0,326.0,2.1265096695492334,29.5,0.019366812406376326,1.900955020829185,26.25,0.02595502082918494,0.643942334332229,8.75,0.018942334332229065
ninemileprairie,ninemileprairie_DB_2000,DB,2023,101.0,210.0,227.0,292.0,116.0,141.0,218.0,314.0,60.0,170.0,237.0,308.0,2.0783099293871294,28.75,0.024738500815701205,1.9563136952160611,26.75,0.04559940950177535,2.0082160156876423,27.5,0.04393030140192818
BLUE,NEON.D11.BLUE.DP1.20002_DB_1000,DB,2023,61.0,138.0,199.0,365.0,78.0,110.0,234.0,341.0,77.0,139.0,261.0,335.0,1.8882768352024868,26.0,0.031133978059629575,1.976033379012922,27.25,0.029604807584350693,1.1474634437501716,15.75,0.02246344375017154
shalehillsczo,shalehillsczo_DB_2000,DB,2023,98.0,168.0,187.0,356.0,94.0,155.0,243.0,303.0,107.0,175.0,251.0,310.0,2.303884526554822,31.5,0.05388452655482185,2.318924734336829,31.5,0.06892473433682926,0.9447178295476554,12.0,0.0875749724047983
usgseros,usgseros_DB_2000,DB,2023,90.0,199.0,226.0,303.0,112.0,142.0,213.0,285.0,3.0,170.0,227.0,336.0,1.9848763466120258,27.5,0.020590632326311566,2.748495835414649,37.5,0.06992440684322074,3.6808869125064154,50.5,0.07374405536355809
ecb4,ecb4_AG_1000,AG,2023,49.0,197.0,250.0,315.0,80.0,112.0,128.0,365.0,2.0,224.0,224.0,365.0,5.259740632879778,72.0,0.11688349002263455,2.7697877285476937,37.5,0.09121629997626528,5.153219312754365,71.5,0.04607645561150752
segawhitepockets,segawhitepockets_GR_1000,GR,2023,80.0,139.0,273.0,314.0,97.0,122.0,140.0,270.0,76.0,127.0,152.0,331.0,3.9316530856672336,52.75,0.1637959428100907,2.817845749993422,38.5,0.06784574999342229,1.8442997778091013,24.75,0.07644263495195851
