site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
willowcreek,3.0,3.0,16.0,12.0,-9.0,3.4667,2.7778,willowcreek_DB_1000,DB,2024,112.0,164.0,249.0,324.0,126.0,141.0,259.0,286.0,109.0,148.0,237.0,333.0,1.6111086980991969,21.25,0.0932515552420541,0.7512674205011841,10.0,0.0369817062154698,1.7279028811121768,23.25,0.0671885953978909
lostcreek,44.0,44.0,0.0,10.0,11.0,2.2308,1.2529,lostcreek_WL_1000,WL,2024,119.0,177.0,231.0,340.0,123.0,149.0,213.0,300.0,75.0,177.0,221.0,329.0,1.6708436298192584,22.5,0.0637007726764011,1.1991664040566905,16.25,0.0384521183424047,2.0429026248648587,28.25,0.025045482007716
arsope3ltar,12.0,12.0,-22.0,20.0,14.0,0.9216,0.8936,arsope3ltar_AG_1000,AG,2024,29.0,217.0,270.0,312.0,2.0,206.0,246.0,293.0,17.0,239.0,250.0,298.0,1.5040477825200682,20.25,0.0576192110914968,1.2535772718032565,17.0,0.0392915575175423,1.0958296923183468,14.25,0.0779725494612039
vallesmixedconifer,-4.0,-4.0,-41.0,-41.0,1.0,2.9855,1.4587,vallesmixedconifer_EN_1000,EN,2024,1.0,207.0,207.0,366.0,81.0,150.0,251.0,360.0,5.0,248.0,248.0,365.0,3.4759296822846397,46.75,0.1366439679989254,1.6287406413464431,21.75,0.0751692127750145,3.370962620078247,45.5,0.1209626200782472
STEI,52.0,52.0,-9.0,-27.0,-4.0,5.0769,2.881,NEON.D05.STEI.DP1.00042_UN_1000,UN,2024,105.0,171.0,215.0,336.0,130.0,143.0,246.0,288.0,53.0,180.0,242.0,340.0,2.3896036799534843,33.0,0.0324608228106269,1.6790100198188438,23.0,0.036152876961701,3.0655690943208436,42.5,0.0298548086065577
arsmorris2,69.0,69.0,7.0,-1.0,-12.0,0.7004,2.0526,arsmorris2_AG_1000,AG,2024,71.0,237.0,243.0,321.0,2.0,239.0,254.0,292.0,2.0,230.0,244.0,333.0,2.072291374103998,27.75,0.0901485169611405,1.6843192472810855,22.25,0.0950335329953716,1.136108626007882,15.0,0.0646800545793107
shalehillsczo,-20.0,-20.0,-6.0,-35.0,36.0,2.0968,2.1549,shalehillsczo_DB_2000,DB,2024,90.0,155.0,192.0,345.0,106.0,137.0,233.0,304.0,110.0,161.0,227.0,309.0,2.087798884938436,29.0,0.0163703135098646,1.7635604858295126,24.25,0.0314176286866553,0.7266218162208594,9.75,0.030193244792288
blackrockforest,-14.0,-14.0,-2.0,-17.0,61.0,4.2,1.4792,blackrockforest_DB_1000,DB,2024,102.0,144.0,202.0,344.0,120.0,130.0,188.0,284.0,116.0,146.0,219.0,283.0,1.9435450078592431,26.5,0.0506878650021006,1.8256709109245404,23.5,0.1470994823531117,1.0048602231268944,13.0,0.0762887945554657
coweeta,-14.0,-14.0,7.0,-53.0,31.0,3.25,0.9803,coweeta_DB_2000,DB,2024,91.0,143.0,200.0,349.0,104.0,120.0,183.0,335.0,105.0,136.0,253.0,318.0,1.2497285049485436,16.75,0.0532999335199721,1.9093051274104,26.25,0.0343051274103999,1.9092994177836813,26.0,0.0521565606408239
russellsage,-16.0,-16.0,31.0,59.0,1.0,2.6154,1.687,russellsage_DB_1000,DB,2024,65.0,133.0,172.0,366.0,77.0,103.0,250.0,365.0,81.0,102.0,113.0,365.0,2.1774884507456176,30.25,0.0167741650313317,2.123027683742201,26.75,0.212313398027915,2.728233186469226,35.5,0.192518900754941
uiefmiscanthus2,-33.0,-33.0,47.0,-41.0,9.0,5.069,3.087,uiefmiscanthus2_AG_1000,AG,2024,68.0,215.0,242.0,313.0,122.0,151.0,279.0,302.0,101.0,168.0,283.0,304.0,2.9929714713982736,41.5,0.0286857571125592,2.354821425696763,32.5,0.0333928542681918,0.8270384457185501,11.0,0.0413241600042643
niwot3,-1.0,-1.0,61.0,61.0,1.0,3.2072,0.1023,niwot3_EN_1000,EN,2024,1.0,357.0,357.0,366.0,75.0,186.0,243.0,331.0,2.0,296.0,296.0,365.0,7.210867293521248,98.5,0.175153007806963,2.36965978350139,31.0,0.1553740692156756,5.034236948008093,67.5,0.212808376579522
grca1pj,-35.0,-35.0,-107.0,-29.0,1.0,0.0439,2.0444,grca1pj_EN_1000,EN,2024,3.0,13.0,182.0,366.0,17.0,245.0,261.0,351.0,38.0,120.0,211.0,365.0,6.226084682745579,85.0,0.1546561113170081,3.1500114744075804,43.0,0.078582902979009,3.828507248858785,52.5,0.0785072488587848
dangermondjalama,2.0,2.0,1.0,-46.0,129.0,0.8936,3.2308,dangermondjalama_GR_1000,GR,2024,8.0,50.0,58.0,310.0,2.0,49.0,73.0,151.0,6.0,49.0,104.0,181.0,3.257014645448887,45.25,0.0248717883060298,3.2129213163749077,44.5,0.0343498878034794,1.188330691854683,16.25,0.0276164061403971
