site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
bbc1,-8.0,-8.0,3.0,15.0,0.0,5.25,0.6548,bbc1_DB_1000,DB,2023,101.0,164.0,227.0,337.0,122.0,134.0,178.0,346.0,109.0,161.0,212.0,337.0,1.984858456629059,27.25,0.03842988520048771,0.5185877081278908,6.5,0.054301993842176474,1.538136616642176,20.75,0.05599375949931881
blackrockforest,-1.0,-1.0,-1.0,-17.0,10.0,1.5417,1.0577,blackrockforest_DB_1000,DB,2023,113.0,150.0,221.0,331.0,113.0,137.0,216.0,320.0,114.0,151.0,238.0,321.0,0.55321490158375,7.25,0.03535775872660702,0.5533385051871011,7.25,0.03548136232995827,0.697704795139392,9.5,0.01913336656796339
arsbrooks10,-2.0,-2.0,7.0,18.0,3.0,1.4516,0.55,arsbrooks10_AG_1000,AG,2023,137.0,182.0,243.0,287.0,141.0,172.0,198.0,278.0,139.0,175.0,225.0,284.0,1.227026302938497,17.0,0.01274058865278268,0.5677147887972412,7.5,0.032000503082955566,0.7099348482010227,9.5,0.031363419629594144
arscolessouth,-4.0,-4.0,-8.0,-6.0,12.0,1.5,3.2941,arscolessouth_AG_1000,AG,2023,140.0,188.0,235.0,291.0,154.0,186.0,250.0,267.0,144.0,196.0,241.0,279.0,1.0203697395491618,13.75,0.038226882406304626,0.5783938155093118,7.5,0.04267952979502613,0.7600958099022342,10.25,0.027952952759377144
arsbrooks11,-13.0,-13.0,-7.0,5.0,9.0,2.1429,1.1,arsbrooks11_AG_1000,AG,2023,137.0,182.0,243.0,287.0,151.0,172.0,233.0,273.0,150.0,189.0,238.0,278.0,0.877662667610139,12.0,0.020519810467281924,0.640379852611679,8.5,0.03323699546882187,0.5258076631138598,7.0,0.025807663113859847
robinson2,-1.0,-1.0,17.0,-8.0,10.0,2.8235,0.8311,robinson2_DB_1000,DB,2023,95.0,143.0,226.0,349.0,98.0,115.0,197.0,345.0,96.0,126.0,234.0,339.0,1.1682589727464356,16.0,0.02540182988929282,0.6705892326896048,9.0,0.027732089832461854,1.0358395009664867,14.0,0.0358395009664867
willowcreek,-4.0,-4.0,9.0,18.0,8.0,3.3077,2.36,willowcreek_DB_1000,DB,2023,116.0,159.0,247.0,306.0,128.0,141.0,244.0,269.0,120.0,150.0,229.0,298.0,1.3577183592782278,17.5,0.10771835927822773,0.721060057122572,9.75,0.02463148569400061,1.1706971269266613,15.25,0.08141141264094713
morganmonroe2,14.0,14.0,-4.0,5.0,19.0,2.1,0.6304,morganmonroe2_DB_1000,DB,2023,98.0,140.0,253.0,340.0,93.0,113.0,202.0,340.0,84.0,144.0,248.0,321.0,1.5056626039407583,20.75,0.02351974679790115,0.7812147449143121,10.5,0.031214744914312045,1.9110521544734929,26.25,0.036052154473492935
arscolesnorth,-3.0,-3.0,8.0,28.0,4.0,1.4118,1.1429,arscolesnorth_AG_1000,AG,2023,140.0,188.0,235.0,291.0,145.0,179.0,222.0,271.0,143.0,180.0,207.0,287.0,0.8649952781234956,11.75,0.025709563837781352,0.794892085268906,10.75,0.027034942411763064,0.6437678566075316,8.5,0.03662499946467451
meadpasturese,21.0,21.0,-1.0,13.0,-6.0,1.0222,0.74,meadpasturese_AG_1000,AG,2023,62.0,200.0,243.0,280.0,54.0,189.0,223.0,273.0,41.0,201.0,230.0,286.0,0.8708103401829002,11.5,0.0493817687543287,0.7983640388288537,10.25,0.06622118168599658,0.8437289972903077,11.25,0.040157568718879065
huyckpreserveny,-18.0,-18.0,15.0,5.0,-6.0,3.8125,0.5634,huyckpreserveny_DB_1000,DB,2023,104.0,165.0,231.0,311.0,122.0,138.0,173.0,315.0,122.0,150.0,226.0,317.0,1.9374377456897245,26.75,0.026723459975438648,0.819668938793715,11.0,0.033954653079429374,1.238584575490203,16.75,0.04215600406163164
jershrubland,-5.0,-5.0,-11.0,16.0,11.0,6.2353,1.4828,jershrubland_SH_1000,SH,2023,51.0,157.0,189.0,361.0,108.0,125.0,231.0,347.0,56.0,168.0,173.0,350.0,2.6351465288062594,36.25,0.045860814520544815,0.8332420875186928,10.75,0.06538494466154988,2.858646790982851,39.0,0.07293250526856541
jershrubland,-3.0,-3.0,-12.0,16.0,14.0,6.2353,1.4215,jershrubland_XX_1000,XX,2023,51.0,157.0,189.0,361.0,108.0,125.0,225.0,346.0,54.0,169.0,173.0,347.0,2.5498275398165173,35.0,0.0498275398165173,0.8696519804618739,11.25,0.06608055189044522,2.7773455355129575,37.75,0.08091696408438578
arsltarucbec2,9.0,9.0,-31.0,5.0,1.0,0.745,0.8052,arsltarucbec2_AG_1000,AG,2023,82.0,193.0,249.0,311.0,57.0,206.0,223.0,300.0,73.0,224.0,244.0,310.0,1.3912481430620773,18.75,0.05196242877636312,0.8703719408187968,11.5,0.04894336939022533,1.1870095386430113,16.25,0.026295252928725366
KING,1.0,1.0,25.0,-21.0,1.0,2.2258,0.8153,NEON.D06.KING.DP1.20002_WL_2000,WL,2023,99.0,168.0,204.0,332.0,100.0,131.0,186.0,343.0,98.0,143.0,225.0,331.0,1.2198221461002403,16.75,0.02339357467166889,0.8795950578959635,12.0,0.02245220075310643,1.1905843271364058,16.25,0.029870041422120047
dukehw,-5.0,-5.0,22.0,4.0,21.0,2.4138,0.8803,dukehw_DB_1000,DB,2023,69.0,139.0,243.0,346.0,72.0,101.0,214.0,331.0,74.0,117.0,239.0,325.0,1.546214251806267,21.25,0.02835710894912409,0.9580033165593854,13.0,0.02943188798795682,0.8912054237406276,12.25,0.016205423740627643
jergrassland2,25.0,25.0,6.0,19.0,-2.0,4.7727,1.0213,jergrassland2_XX_1000,XX,2023,53.0,158.0,171.0,363.0,112.0,134.0,146.0,334.0,28.0,152.0,152.0,365.0,2.5109259965795703,34.25,0.06449742515099857,1.0044272421789269,13.0,0.07585581360749834,2.5430219443819366,34.75,0.06087908723907953
cpertgm,7.0,7.0,21.0,24.0,-5.0,2.8182,0.8817,cpertgm_GR_1000,GR,2023,124.0,186.0,197.0,279.0,133.0,155.0,167.0,260.0,117.0,165.0,173.0,284.0,1.654536217438564,22.25,0.06525050315284976,1.0580810720065812,14.25,0.0402239291494383,1.025563398459693,14.0,0.025563398459692927
